Sex;Length;Diameter;Height;Whole;Shucked;Viscera;Shellweight;Rings
M;0.455;0.365;0.095;0.514;medio;0.101;0.15;15
M;0.35;0.265;0.09;0.2255;medio;0.0485;0.07;7
F;0.53;0.42;0.135;0.677;medio;0.1415;0.21;9
M;0.44;0.365;0.125;0.516;medio;0.114;0.155;10
I;0.33;0.255;0.08;0.205;medio;0.0395;0.055;7
I;0.425;0.3;0.095;0.3515;medio;0.0775;0.12;8
F;0.53;0.415;0.15;0.7775;medio;0.1415;0.33;20
F;;0.425;0.125;0.768;medio;0.1495;0.26;16
M;0.475;0.37;0.125;0.5095;medio;0.1125;0.165;9
F;0.55;0.44;0.15;0.8945;medio;0.151;0.32;19
F;0.525;0.38;0.14;0.6065;medio;0.1475;0.21;14
M;0.43;0.35;0.11;0.406;medio;0.081;0.135;10
M;0.49;0.38;0.135;0.5415;medio;0.095;0.19;11
F;0.535;0.405;0.145;0.6845;medio;0.171;0.205;10
F;;0.355;0.1;0.4755;medio;0.0805;0.185;10
M;0.5;0.4;0.13;0.6645;medio;0.133;0.24;12
I;0.355;0.28;0.085;0.2905;medio;0.0395;0.115;7
F;0.44;0.34;0.1;0.451;medio;0.087;0.13;10
M;0.365;0.295;0.08;0.2555;medio;0.043;0.1;7
M;0.45;0.32;0.1;0.381;medio;0.075;0.115;9
M;0.355;0.28;0.095;0.2455;medio;0.062;0.075;11
I;0.38;0.275;0.1;0.2255;medio;0.049;0.085;10
F;0.565;0.44;0.155;0.9395;medio;0.214;0.27;12
F;0.55;0.415;0.135;0.7635;medio;0.21;0.2;9
F;0.615;0.48;0.165;1.1615;pesado;0.301;0.305;10
F;0.56;0.44;0.14;0.9285;medio;0.188;0.3;11
F;0.58;0.45;0.185;0.9955;medio;0.272;0.285;11
M;0.59;0.445;0.14;0.931;medio;0.234;0.28;12
M;0.605;0.475;0.18;0.9365;medio;0.219;0.295;15
M;0.575;0.425;0.14;0.8635;medio;0.227;0.2;11
M;0.58;0.47;0.165;0.9975;medio;0.242;0.33;10
F;0.68;0.56;0.165;1.639;pesado;0.2805;0.46;15
M;0.665;0.525;0.165;1.338;pesado;0.3575;0.35;18
F;0.68;0.55;0.175;1.798;pesado;0.3925;0.455;19
F;0.705;0.55;0.2;1.7095;pesado;0.4115;0.49;13
M;0.465;0.355;0.105;0.4795;medio;0.124;0.125;8
F;0.54;0.475;0.155;1.217;pesado;0.3075;0.34;16
F;0.45;0.355;0.105;0.5225;medio;0.1165;0.145;8
F;0.575;0.445;0.135;0.883;medio;0.2035;0.26;11
M;0.355;0.29;0.09;0.3275;medio;0.086;0.09;9
F;0.45;0.335;0.105;0.425;medio;0.091;0.115;9
F;0.55;0.425;0.135;0.8515;medio;0.196;0.27;14
I;0.24;0.175;0.045;0.07;medio;0.0235;0.02;5
I;0.205;0.15;0.055;0.042;medio;0.015;0.012;5
I;0.21;0.15;0.05;0.042;medio;0.0125;0.015;4
I;0.39;0.295;0.095;0.203;medio;0.045;0.075;7
M;0.47;0.37;0.12;0.5795;medio;0.227;0.14;9
F;0.46;0.375;0.12;0.4605;medio;0.11;0.15;7
I;0.325;0.245;0.07;0.161;medio;0.0255;0.045;6
F;0.525;0.425;0.16;0.8355;medio;0.2135;0.245;9
I;0.52;0.41;0.12;0.595;medio;0.111;0.19;8
M;0.4;0.32;0.095;0.303;medio;0.06;0.1;7
M;0.485;0.36;0.13;0.5415;medio;0.096;0.16;10
F;0.47;0.36;0.12;0.4775;medio;0.1055;0.15;10
M;0.405;0.31;0.1;0.385;medio;0.0915;0.11;7
F;0.5;0.4;0.14;0.6615;medio;0.1755;0.22;8
M;0.445;0.35;0.12;0.4425;medio;0.0955;0.135;8
M;0.47;0.385;0.135;0.5895;medio;0.12;0.17;8
I;0.245;0.19;0.06;0.086;medio;0.014;0.025;4
F;0.505;0.4;0.125;0.583;medio;0.13;0.175;7
M;0.45;0.345;0.105;0.4115;medio;0.1125;0.135;7
